"なんで","왜","JA","KO"
"アイテナリ","아이티너리(여정)","JA","KO"
"アイテナリー","아이티너리(여정)","JA","KO"
"エリア","에리어","JA","KO"
"エージェント","에이전트","JA","KO"
"クライアント","클라이언트","JA","KO"
"サプライヤー","서플라이어(사입처)","JA","KO"
"サプリイヤ","서플라이어(사입처)","JA","KO"
"サプリイヤー","서플라이어(사입처)","JA","KO"
"シーズナリー","시즈너리","JA","KO"
"ステータス","스테이터스","JA","KO"
"タリフ","타리프(요금표)","JA","KO"
"テンプ","템플릿","JA","KO"
"テンプレ","템플릿","JA","KO"
"ヒアリング","히어링","JA","KO"
"予定","예정","JA","KO"
"代理店","대리점","JA","KO"
"何で","무엇으로","JA","KO"
"失注","실주(수주실패)","JA","KO"
"対応","대응","JA","KO"
"支払","지불","JA","KO"
"案件","안건","JA","KO"
"経理","경리","JA","KO"
"請求書","청구서","JA","KO"
